Lambda,Total Avg Drop Rate,Q1 Drop Rate,Total Avg Drop Rate,Total Avg Drop Rate
,,0.019618514,0.010025712,0.009759857
,,0.020086903,0.009231575,0.00966015
,,0.020467795,0.010079201,0.009879669
,,0.021386881,0.010188558,0.010248565
,,0.021749478,0.010847959,0.010281668
,,0.023056474,0.009923764,0.010221703
,,0.024293356,0.010174216,0.011287133
,,0.0250628,0.010264868,0.010423206
,,0.026218998,0.009702225,0.010442217
,,0.028481408,0.010263665,0.01086262
,,0.03119326,0.011211008,0.010377688
,,0.030781032,0.010628573,0.011922993
,,0.03258265,0.010794966,0.011576974
,,0.035584872,0.011346323,0.011222083
,,0.042070978,0.011730264,0.011224357
,,0.04228592,0.01131789,0.012066335
,,0.048732819,0.01189952,0.011993988
,,0.055466982,0.011745674,0.01192591
,,0.063396376,0.012106367,0.01237715
,,0.07731667,0.012122963,0.011501023
,,0.075433335,0.013177613,0.012701177
,,0.133731256,0.012065957,0.01270726
,,0.144251375,0.012465679,0.01314227
,,0.266387852,0.012271652,0.014266953
,,0.200781091,0.013670581,0.013088874
,,0.248924624,0.014322056,0.014942287
,,0.263780299,0.014585543,0.013315179
,,0.333567506,0.013699313,0.014572733
,,0.267652542,0.015299528,0.014668873
,,0.310015251,0.015744476,0.015815924
,,0.308075292,0.015353665,0.015631432
,,0.269745239,0.016363944,0.015837761
,,0.287848898,0.015968144,0.015390786
,,0.5,0.016680758,0.015910448
,,0.7,0.016295882,0.016979751
,,0.9,0.015690765,0.017877975
,,0.999,0.017197427,0.017460761
,,,0.018121843,0.018972962
,,,0.018851227,0.019247559
,,,0.019470466,0.020270102
,,,0.020619679,0.020630166
,,,0.020748666,0.02137551
,,,0.022678617,0.022429882
,,,0.0222252,0.023374825
,,,0.024731706,0.024018086
,,,0.026080708,0.026072967
,,,0.026165697,0.026391717
,,,0.028922965,0.028839804
,,,0.029592722,0.030637769
,,,0.031793836,0.030357729
,,,0.032914809,0.036305521
,,,0.036631684,0.037460971
,,,0.041451713,0.040124515
,,,0.041861634,0.044688607
,,,0.050283486,0.049295275
,,,0.057342382,0.057426822
,,,0.058595449,0.061930811
,,,0.075887059,0.079150839
,,,0.080389384,0.099594124
,,,0.102039245,0.111213517
,,,0.176299298,0.15514496
,,,0.233645355,0.317227679
,,,0.270304186,0.711350894
,,,0.819273782,0.900223007
,,,0.910765753,0.996548209
,,,0.99377741,
